Patrón;Repeticiones;Aparición
Patron 286;26;1
Patron 287;46;1
Patron 288;16;1
Patron 289;2;1
Patron 290;2;1
Patron 291;8;1
Patron 292;5;1
Patron 293;2;1
Patron 294;4;1
Patron 295;2;1
Patron 296;3;2
Patron 297;2;1
Patron 298;3;1
Patron 299;154;1
Patron 300;74;1
Patron 301;10;1
Patron 302;5;1
Patron 303;7;1
Patron 304;6;1
Patron 305;3;1
Patron 306;4;1
Patron 307;2;1
Patron 308;3;1
Patron 309;45;1
Patron 310;5;1
Patron 311;6;1
Patron 312;2;1
Patron 313;2;2
Patron 314;8;7
Patron 315;2;2
Patron 316;3;1
Patron 317;4;1
Patron 318;2;2
Patron 319;2;1
Patron 320;3;2
Patron 321;2;1
Patron 322;10;2
Patron 323;3;1
Patron 324;39;1
Patron 325;5;1
Patron 326;5;2
Patron 327;11;2
Patron 328;2;1
Patron 329;3;1
Patron 330;2;1
Patron 331;3;2
Patron 332;2;1
Patron 333;4;2
Patron 334;2;1
Patron 335;4;1
Patron 336;5;2
Patron 337;4;3
Patron 338;14;3
Patron 339;11;3
Patron 340;7;2
Patron 341;2;1
Patron 342;2;1
Patron 343;13;1
Patron 344;5;1
Patron 345;8;1
Patron 346;7;1
Patron 347;3;1
Patron 348;6;1
Patron 349;11;1
Patron 350;3;1
Patron 351;3;1
Patron 352;4;1
Patron 353;2;1
Patron 354;4;1
Patron 355;5;2
Patron 356;2;1
Patron 357;2;1
Patron 358;2;1
Patron 359;2;1
Patron 360;2;1
Patron 361;5;1
Patron 362;3;1
Patron 363;3;1
Patron 364;15;1
Patron 365;8;1
Patron 366;4;1
Patron 367;3;1
Patron 368;2;1
Patron 369;2;1
Patron 370;58;2
Patron 371;9;3
Patron 372;3;3
Patron 373;2;1
Patron 374;2;1
Patron 375;2;1
Patron 376;5;2
Patron 377;2;1
Patron 378;4;1
Patron 379;2;1
Patron 380;2;1
Patron 381;2;1
Patron 382;14;1
Patron 383;10;1
Patron 384;4;1
Patron 385;7;1
Patron 386;7;1
Patron 387;6;1
Patron 388;6;1
Patron 389;3;1
Patron 390;3;1
Patron 391;4;1
Patron 392;3;1
Patron 393;7;1
Patron 394;13;1
Patron 395;7;1
